NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.17862E+03  0.18047E+03  0.18279E+03  0.18532E+03  0.18785E+03  0.19025E+03
  0.19246E+03  0.19444E+03  0.19621E+03  0.19778E+03  0.19915E+03  0.20037E+03
  0.20144E+03  0.20238E+03  0.20320E+03  0.20390E+03  0.20444E+03  0.20476E+03
  0.20476E+03  0.20482E+03  0.20466E+03  0.20432E+03  0.20382E+03  0.20317E+03
  0.20232E+03  0.20127E+03  0.19996E+03  0.19837E+03  0.19648E+03  0.19426E+03
  0.19171E+03  0.18885E+03  0.18577E+03  0.18263E+03  0.17963E+03  0.17710E+03
  0.17541E+03  0.17486E+03  0.17543E+03  0.17677E+03  0.17846E+03  0.18019E+03
  0.18183E+03  0.18333E+03  0.18468E+03  0.18589E+03  0.18703E+03  0.18815E+03
  0.18925E+03  0.19032E+03  0.19133E+03  0.19227E+03  0.19305E+03  0.19362E+03
  0.18721E+03  0.18735E+03  0.18738E+03  0.18730E+03  0.18710E+03  0.18684E+03
  0.18651E+03  0.18609E+03  0.18562E+03  0.18511E+03  0.18452E+03  0.18380E+03
  0.18292E+03  0.18189E+03  0.18073E+03  0.17951E+03  0.17854E+03  0.17832E+03
  0.17925E+03  0.18135E+03  0.18428E+03  0.18759E+03  0.19098E+03  0.19425E+03
  0.19732E+03  0.20013E+03  0.20270E+03  0.20505E+03  0.20717E+03  0.20903E+03
  0.21061E+03  0.21191E+03  0.21297E+03  0.21383E+03  0.21453E+03  0.21506E+03
  0.21537E+03  0.21537E+03  0.21545E+03  0.21529E+03  0.21493E+03  0.21435E+03
  0.21353E+03  0.21238E+03  0.21088E+03  0.20901E+03  0.20680E+03  0.20427E+03
  0.20142E+03  0.19824E+03  0.19473E+03  0.19094E+03  0.18697E+03  0.18303E+03
  0.17945E+03  0.17674E+03  0.17532E+03  0.17527E+03  0.17624E+03  0.17769E+03
  0.17925E+03  0.18071E+03  0.18198E+03  0.18299E+03  0.18376E+03  0.18436E+03
  0.18486E+03  0.18529E+03  0.18566E+03  0.18602E+03  0.18639E+03  0.18672E+03
  0.18700E+03  0.17589E+03  0.17607E+03  0.17641E+03  0.17686E+03  0.17740E+03
  0.17801E+03  0.17863E+03  0.17919E+03  0.17967E+03  0.18007E+03  0.18031E+03
  0.18030E+03  0.18004E+03  0.17953E+03  0.17880E+03  0.17793E+03  0.17731E+03
  0.17760E+03  0.17934E+03  0.18251E+03  0.18662E+03  0.19109E+03  0.19553E+03
  0.19976E+03  0.20369E+03  0.20730E+03  0.21061E+03  0.21368E+03  0.21651E+03
  0.21904E+03  0.22122E+03  0.22299E+03  0.22440E+03  0.22550E+03  0.22635E+03
  0.22695E+03  0.22727E+03  0.22727E+03  0.22726E+03  0.22695E+03  0.22636E+03
