GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.10242E+03  0.10243E+03  0.10247E+03  0.10250E+03  0.10254E+03  0.10256E+03
  0.10258E+03  0.10260E+03  0.10261E+03  0.10263E+03  0.10264E+03  0.10266E+03
  0.10268E+03  0.10270E+03  0.10272E+03  0.10274E+03  0.10275E+03  0.10276E+03
  0.10503E+03  0.10503E+03  0.10503E+03  0.10501E+03  0.10499E+03  0.10497E+03
  0.10494E+03  0.10491E+03  0.10488E+03  0.10485E+03  0.10482E+03  0.10479E+03
  0.10476E+03  0.10473E+03  0.10468E+03  0.10462E+03  0.10456E+03  0.10451E+03
  0.10448E+03  0.10449E+03  0.10452E+03  0.10457E+03  0.10463E+03  0.10469E+03
  0.10475E+03  0.10482E+03  0.10488E+03  0.10493E+03  0.10498E+03  0.10503E+03
  0.10507E+03  0.10511E+03  0.10515E+03  0.10518E+03  0.10520E+03  0.10521E+03
  0.10522E+03  0.10522E+03  0.10521E+03  0.10519E+03  0.10516E+03  0.10513E+03
  0.10510E+03  0.10506E+03  0.10501E+03  0.10497E+03  0.10492E+03  0.10487E+03
  0.10482E+03  0.10476E+03  0.10469E+03  0.10463E+03  0.10456E+03  0.10450E+03
  0.10446E+03  0.10443E+03  0.10445E+03  0.10449E+03  0.10454E+03  0.10460E+03
  0.10464E+03  0.10468E+03  0.10472E+03  0.10475E+03  0.10478E+03  0.10481E+03
  0.10485E+03  0.10488E+03  0.10492E+03  0.10495E+03  0.10498E+03  0.10500E+03
  0.10502E+03  0.10720E+03  0.10721E+03  0.10720E+03  0.10719E+03  0.10716E+03
  0.10714E+03  0.10710E+03  0.10707E+03  0.10703E+03  0.10700E+03  0.10696E+03
  0.10692E+03  0.10688E+03  0.10683E+03  0.10677E+03  0.10670E+03  0.10662E+03
  0.10657E+03  0.10655E+03  0.10658E+03  0.10664E+03  0.10673E+03  0.10682E+03
  0.10692E+03  0.10703E+03  0.10712E+03  0.10721E+03  0.10730E+03  0.10738E+03
  0.10745E+03  0.10752E+03  0.10757E+03  0.10762E+03  0.10767E+03  0.10770E+03
  0.10772E+03  0.10773E+03  0.10773E+03  0.10772E+03  0.10770E+03  0.10766E+03
  0.10762E+03  0.10758E+03  0.10752E+03  0.10746E+03  0.10739E+03  0.10731E+03
  0.10723E+03  0.10714E+03  0.10704E+03  0.10693E+03  0.10682E+03  0.10671E+03
  0.10661E+03  0.10652E+03  0.10647E+03  0.10647E+03  0.10651E+03  0.10658E+03
  0.10665E+03  0.10672E+03  0.10678E+03  0.10683E+03  0.10687E+03  0.10691E+03
  0.10695E+03  0.10699E+03  0.10704E+03  0.10707E+03  0.10711E+03  0.10714E+03
  0.10717E+03  0.10719E+03  0.10922E+03  0.10923E+03  0.10923E+03  0.10922E+03
  0.10921E+03  0.10919E+03  0.10917E+03  0.10914E+03  0.10911E+03  0.10908E+03
  0.10905E+03  0.10901E+03  0.10897E+03  0.10891E+03  0.10885E+03  0.10876E+03
  0.10868E+03  0.10863E+03  0.10863E+03  0.10869E+03  0.10880E+03  0.10894E+03
  0.10909E+03  0.10924E+03  0.10940E+03  0.10954E+03  0.10968E+03  0.10980E+03
